date,window_size,garch_model,distribution,arma_p,arma_q,forecast_mean,forecast_var,ci_lower,ci_upper,actual_return,in_ci,violation_type,dist_test_pvalue,aic,bic
2018-09-26,200,GARCH,t,1,1,0.11301140370505806,0.25973794817795326,-0.8858742915059566,1.1118970989160728,-0.32946997183381443,True,none,,438.4086875248481,458.1685164731951
2018-09-26,200,EGARCH,normal,1,1,0.11451262696902645,0.2716556847670405,-0.9070323433773848,1.1360575973154377,-0.32946997183381443,True,none,,450.1798866194061,466.6464107430286
2018-09-26,200,EGARCH,studentst,1,1,0.12145972201039311,0.2758866368446394,-0.9080096338319635,1.1509290778527497,-0.32946997183381443,True,none,,443.86320994075817,463.62303888910515
2018-09-26,200,EGARCH,t,1,1,0.12145972201039311,0.2758866368446394,-0.9080096338319635,1.1509290778527497,-0.32946997183381443,True,none,,443.86320994075817,463.62303888910515
2018-09-26,200,GJR-GARCH,normal,1,1,0.04699614944645272,0.2546077652029938,-0.9419756628193263,1.0359679617122317,-0.32946997183381443,True,none,,432.58318937278034,452.3430183211273
2018-09-26,200,GJR-GARCH,studentst,1,1,0.05759256957259412,0.25968687440689053,-0.9411949124819403,1.0563800516271287,-0.32946997183381443,True,none,,433.5684472180602,456.6215809911317
2018-09-26,200,GJR-GARCH,t,1,1,0.05759256957259412,0.25968687440689053,-0.9411949124819403,1.0563800516271287,-0.32946997183381443,True,none,,433.5684472180602,456.6215809911317
2018-09-27,200,GARCH,normal,1,1,0.10881668745019121,0.2584524603614238,-0.8875941131664471,1.1052274880668296,0.27594761263509743,True,none,,443.7275546333403,460.19407875696277
2018-09-27,200,GARCH,studentst,1,1,0.1142498123823532,0.2681220205975259,-0.9006293435010937,1.1291289682658001,0.27594761263509743,True,none,,439.13813838600265,458.89796733434963
2018-09-27,200,GARCH,t,1,1,0.1142498123823532,0.2681220205975259,-0.9006293435010937,1.1291289682658001,0.27594761263509743,True,none,,439.13813838600265,458.89796733434963
2018-09-27,200,EGARCH,normal,1,1,0.10686704300276395,0.29635629127500246,-0.9601102244151297,1.1738443104206575,0.27594761263509743,True,none,,450.8158309939514,467.28235511757384
